date,daily_reviews,daily_avg_rating
2025-08-13,1,5.0
2025-08-14,6,3.5
2025-08-15,4,2.5
2025-08-16,5,3.8
2025-08-17,4,4.5
2025-08-18,4,2.5
2025-08-19,3,3.6666666666666665
2025-08-20,3,2.3333333333333335
2025-08-21,4,4.0
2025-08-22,5,3.6
2025-08-23,1,1.0
2025-08-25,2,5.0
2025-08-26,3,3.6666666666666665
2025-08-27,5,4.0
2025-08-28,4,4.0
2025-08-29,4,2.75
2025-08-30,4,5.0
2025-08-31,3,3.6666666666666665
2025-09-01,5,2.6
2025-09-02,2,1.0
2025-09-03,4,1.5
2025-09-04,2,2.5
2025-09-05,2,4.0
2025-09-06,2,3.0
2025-09-07,2,3.0
2025-09-08,7,2.7142857142857144
2025-09-09,5,3.4
2025-09-10,7,2.2857142857142856
2025-09-11,5,3.4
2025-09-12,4,2.75
2025-09-13,3,4.666666666666667
2025-09-15,5,3.2
2025-09-16,5,2.6
2025-09-17,2,5.0
2025-09-18,2,1.0
2025-09-19,1,5.0
2025-09-20,1,2.0
2025-09-21,2,3.0
2025-09-22,3,2.3333333333333335
2025-09-23,3,4.0
2025-09-24,5,3.8
2025-09-25,7,3.5714285714285716
2025-09-26,4,2.5
2025-09-27,3,4.0
2025-09-28,2,3.0
2025-09-29,5,4.0
2025-09-30,15,3.4
2025-10-01,8,3.875
2025-10-02,7,3.4285714285714284
2025-10-03,3,3.0
2025-10-04,4,2.5
2025-10-05,3,4.666666666666667
2025-10-06,4,4.0
2025-10-07,6,4.666666666666667
2025-10-08,6,4.166666666666667
2025-10-09,12,3.4166666666666665
2025-10-10,6,4.166666666666667
2025-10-11,3,4.666666666666667
2025-10-12,4,4.5
2025-10-13,9,3.5555555555555554
2025-10-14,5,3.4
2025-10-15,4,1.0
2025-10-16,9,2.7777777777777777
2025-10-17,3,2.0
2025-10-18,5,5.0
2025-10-19,2,4.5
2025-10-20,4,3.25
2025-10-21,6,4.333333333333333
2025-10-22,7,4.428571428571429
2025-10-23,5,3.6
2025-10-24,11,3.727272727272727
2025-10-25,8,4.5
2025-10-26,12,3.6666666666666665
2025-10-27,13,2.923076923076923
2025-10-28,11,3.8181818181818183
2025-10-29,10,4.0
2025-10-30,14,3.357142857142857
2025-10-31,9,3.2222222222222223
2025-11-01,5,2.0
2025-11-02,12,3.9166666666666665
2025-11-03,7,3.4285714285714284
2025-11-04,20,3.8
2025-11-05,21,4.142857142857143
2025-11-06,13,3.3076923076923075
2025-11-07,12,2.6666666666666665
2025-11-08,9,3.6666666666666665
2025-11-09,16,3.875
2025-11-10,11,3.3636363636363638
2025-11-11,23,4.043478260869565
2025-11-12,14,4.642857142857143
2025-11-13,18,3.9444444444444446
2025-11-14,11,3.1818181818181817
2025-11-15,5,3.4
2025-11-16,10,4.2
2025-11-17,20,3.25
2025-11-18,14,4.357142857142857
2025-11-19,19,4.0
2025-11-20,15,4.6
2025-11-21,10,4.2
2025-11-22,19,3.9473684210526314
2025-11-23,20,3.45
2025-11-24,15,4.333333333333333
2025-11-25,20,4.15
2025-11-26,12,3.9166666666666665
2025-11-27,17,3.176470588235294
2025-11-28,13,3.076923076923077
2025-11-29,13,4.384615384615385
2025-11-30,18,4.055555555555555
2025-12-01,18,2.5
2025-12-02,25,3.36
2025-12-03,15,3.6666666666666665
2025-12-04,24,3.625
2025-12-05,26,2.730769230769231
2025-12-06,14,2.7857142857142856
2025-12-07,25,3.8
2025-12-08,16,3.4375
2025-12-09,16,3.0625
2025-12-10,19,3.3157894736842106
2025-12-11,25,3.52
2025-12-12,21,3.761904761904762
2025-12-13,18,3.7222222222222223
2025-12-14,18,3.111111111111111
2025-12-15,11,3.1818181818181817
2025-12-16,14,4.0
2025-12-17,23,3.5217391304347827
2025-12-18,20,3.45
2025-12-19,17,3.7058823529411766
2025-12-20,9,2.3333333333333335
2025-12-21,10,2.2
2025-12-22,7,2.857142857142857
2025-12-23,14,3.7857142857142856
2025-12-24,12,4.0
2025-12-25,16,3.625
2025-12-26,14,4.357142857142857
2025-12-27,16,2.625
2025-12-28,15,2.7333333333333334
2025-12-29,22,3.227272727272727
2025-12-30,16,2.5
2025-12-31,17,3.823529411764706
2026-01-01,6,3.0
2026-01-02,8,3.875
2026-01-03,10,3.5
2026-01-04,13,3.923076923076923
2026-01-05,12,3.8333333333333335
2026-01-06,23,3.9565217391304346
2026-01-07,18,4.055555555555555
2026-01-08,21,3.761904761904762
2026-01-09,24,3.2916666666666665
2026-01-10,17,3.2941176470588234
2026-01-11,20,3.1
2026-01-12,15,3.2666666666666666
2026-01-13,18,4.111111111111111
2026-01-14,29,3.7586206896551726
2026-01-15,43,3.9767441860465116
2026-01-16,39,3.717948717948718
2026-01-17,36,4.333333333333333
2026-01-18,50,4.16
2026-01-19,58,3.9310344827586206
2026-01-20,45,3.8
2026-01-21,66,3.878787878787879
2026-01-22,51,4.196078431372549
2026-01-23,49,4.061224489795919
2026-01-24,38,3.789473684210526
2026-01-25,47,3.8297872340425534
2026-01-26,47,3.978723404255319
2026-01-27,39,4.17948717948718
2026-01-28,69,3.7971014492753623
2026-01-29,70,4.014285714285714
2026-01-30,57,4.087719298245614
2026-01-31,46,3.9565217391304346
2026-02-01,49,4.224489795918367
2026-02-02,44,4.431818181818182
2026-02-03,125,4.232
2026-02-04,141,4.425531914893617
2026-02-05,172,4.4186046511627906
2026-02-06,163,4.411042944785276
2026-02-07,146,4.2534246575342465
2026-02-08,161,4.565217391304348
2026-02-09,68,4.5588235294117645
