date,daily_reviews,daily_avg_rating
2025-01-13,2,3.0
2025-01-14,1,5.0
2025-01-16,1,5.0
2025-01-17,1,4.0
2025-01-18,1,1.0
2025-01-21,1,1.0
2025-01-24,2,3.0
2025-01-25,1,5.0
2025-01-27,2,3.0
2025-01-30,2,4.0
2025-02-01,1,5.0
2025-02-02,1,4.0
2025-02-03,1,5.0
2025-02-04,2,1.5
2025-02-06,1,5.0
2025-02-07,1,1.0
2025-02-08,4,3.25
2025-02-09,3,4.333333333333333
2025-02-10,2,5.0
2025-02-11,1,5.0
2025-02-12,3,2.3333333333333335
2025-02-13,1,5.0
2025-02-14,3,5.0
2025-02-15,3,5.0
2025-02-16,5,5.0
2025-02-17,1,5.0
2025-02-18,1,5.0
2025-02-19,2,3.0
2025-02-20,2,4.5
2025-02-23,2,4.0
2025-02-24,2,1.0
2025-02-26,2,5.0
2025-02-27,2,5.0
2025-02-28,5,4.8
2025-03-01,2,5.0
2025-03-02,1,5.0
2025-03-04,4,4.0
2025-03-05,1,5.0
2025-03-06,3,3.6666666666666665
2025-03-07,2,3.5
2025-03-08,1,3.0
2025-03-09,6,4.333333333333333
2025-03-10,2,2.0
2025-03-11,1,3.0
2025-03-12,1,5.0
2025-03-13,5,2.6
2025-03-14,1,5.0
2025-03-15,1,5.0
2025-03-16,1,5.0
2025-03-17,3,3.6666666666666665
2025-03-18,3,4.666666666666667
2025-03-20,2,4.5
2025-03-21,4,5.0
2025-03-22,1,5.0
2025-03-24,6,3.6666666666666665
2025-03-25,5,3.6
2025-03-26,1,2.0
2025-03-27,3,4.666666666666667
2025-03-28,2,2.5
2025-03-29,2,5.0
2025-03-30,2,5.0
2025-03-31,3,3.6666666666666665
2025-04-01,3,2.3333333333333335
2025-04-02,6,4.166666666666667
2025-04-03,3,2.6666666666666665
2025-04-04,4,4.0
2025-04-05,2,5.0
2025-04-06,4,3.0
2025-04-07,4,4.0
2025-04-08,5,4.6
2025-04-09,6,4.333333333333333
2025-04-10,3,4.666666666666667
2025-04-11,1,5.0
2025-04-12,1,1.0
2025-04-13,1,1.0
2025-04-14,1,5.0
2025-04-15,2,5.0
2025-04-16,1,1.0
2025-04-17,3,5.0
2025-04-18,5,4.2
2025-04-20,2,4.0
2025-04-21,3,5.0
2025-04-22,3,4.666666666666667
2025-04-23,1,1.0
2025-04-24,2,3.0
2025-04-25,3,5.0
2025-04-26,1,4.0
2025-04-27,3,3.0
2025-04-28,1,5.0
2025-04-29,2,3.0
2025-05-02,1,5.0
2025-05-05,5,3.4
2025-05-06,2,5.0
2025-05-07,1,1.0
2025-05-09,4,4.5
2025-05-10,1,5.0
2025-05-11,3,3.6666666666666665
2025-05-12,1,4.0
2025-05-13,1,5.0
2025-05-14,3,3.3333333333333335
2025-05-16,2,4.0
2025-05-17,3,5.0
2025-05-18,2,3.0
2025-05-19,2,1.5
2025-05-20,3,3.6666666666666665
2025-05-21,2,3.0
2025-05-22,2,3.0
2025-05-23,1,5.0
2025-05-24,1,1.0
2025-05-25,7,4.0
2025-05-26,2,1.0
2025-05-27,2,4.5
2025-05-29,3,2.3333333333333335
2025-05-30,1,5.0
2025-05-31,5,2.0
2025-06-01,5,4.8
2025-06-02,2,5.0
2025-06-03,2,1.5
2025-06-04,3,3.6666666666666665
2025-06-05,8,2.0
2025-06-06,4,3.5
2025-06-07,2,1.5
2025-06-08,1,1.0
2025-06-09,2,3.5
2025-06-10,3,2.3333333333333335
2025-06-11,3,3.6666666666666665
2025-06-12,1,5.0
2025-06-13,6,2.3333333333333335
2025-06-15,1,3.0
2025-06-16,3,5.0
2025-06-17,4,3.0
2025-06-18,5,3.2
2025-06-19,3,5.0
2025-06-20,4,3.75
2025-06-21,5,3.2
2025-06-22,3,2.3333333333333335
2025-06-23,4,1.75
2025-06-24,3,5.0
2025-06-25,4,5.0
2025-06-26,1,3.0
2025-06-27,4,3.75
2025-06-30,1,5.0
2025-07-01,3,5.0
2025-07-03,2,3.0
2025-07-04,2,5.0
2025-07-05,2,1.5
2025-07-06,3,3.0
2025-07-08,2,3.0
2025-07-09,2,1.0
2025-07-10,3,4.666666666666667
2025-07-11,1,5.0
2025-07-12,4,2.5
2025-07-13,4,5.0
2025-07-14,4,3.25
2025-07-15,4,4.75
2025-07-16,3,4.666666666666667
2025-07-17,4,3.5
2025-07-18,1,5.0
2025-07-19,2,5.0
2025-07-20,5,2.8
2025-07-21,7,4.428571428571429
2025-07-22,5,3.8
2025-07-23,5,4.2
2025-07-24,6,2.3333333333333335
2025-07-25,2,3.0
2025-07-26,7,4.285714285714286
2025-07-27,3,3.6666666666666665
2025-07-28,6,3.6666666666666665
2025-07-29,9,4.444444444444445
2025-07-30,7,4.285714285714286
2025-07-31,11,3.727272727272727
2025-08-01,6,3.6666666666666665
2025-08-02,6,4.0
2025-08-03,2,3.5
2025-08-04,3,2.3333333333333335
2025-08-05,5,3.4
2025-08-06,6,2.5
2025-08-07,7,2.0
2025-08-08,5,2.4
2025-08-09,10,3.4
2025-08-10,5,3.0
2025-08-11,4,5.0
2025-08-12,9,3.7777777777777777
2025-08-13,5,3.0
2025-08-14,9,3.111111111111111
2025-08-15,6,2.6666666666666665
2025-08-16,7,4.142857142857143
2025-08-17,8,3.375
2025-08-18,7,3.5714285714285716
2025-08-19,6,4.166666666666667
2025-08-20,5,3.4
2025-08-21,5,3.6
2025-08-22,7,4.0
2025-08-23,3,2.3333333333333335
2025-08-24,2,5.0
2025-08-25,4,5.0
2025-08-26,3,3.6666666666666665
2025-08-27,5,4.0
2025-08-28,5,4.2
2025-08-29,6,2.8333333333333335
2025-08-30,5,4.2
2025-08-31,4,4.0
2025-09-01,8,3.0
2025-09-02,3,2.3333333333333335
2025-09-03,6,1.5
2025-09-04,4,2.0
2025-09-05,4,4.5
2025-09-06,4,3.5
2025-09-07,3,3.6666666666666665
2025-09-08,13,3.769230769230769
2025-09-09,7,3.2857142857142856
2025-09-10,8,2.125
2025-09-11,6,3.0
2025-09-12,5,3.2
2025-09-13,6,4.166666666666667
2025-09-14,1,5.0
2025-09-15,7,3.142857142857143
2025-09-16,8,3.0
2025-09-17,3,5.0
2025-09-18,7,2.7142857142857144
2025-09-19,2,5.0
2025-09-20,2,3.5
2025-09-21,5,3.4
2025-09-22,7,3.857142857142857
2025-09-23,7,3.857142857142857
2025-09-24,7,4.0
2025-09-25,13,3.3076923076923075
2025-09-26,5,2.2
2025-09-27,3,4.0
2025-09-28,3,3.6666666666666665
2025-09-29,3,2.3333333333333335
2025-09-30,12,3.4166666666666665
2025-10-01,4,2.75
2025-10-02,7,2.4285714285714284
2025-10-03,1,1.0
2025-10-04,5,3.0
2025-10-05,3,4.666666666666667
2025-10-06,5,3.2
2025-10-07,7,3.142857142857143
2025-10-08,8,2.625
2025-10-09,8,2.625
2025-10-10,7,3.7142857142857144
2025-10-11,2,4.5
2025-10-12,3,4.0
2025-10-13,6,3.0
2025-10-14,6,3.0
2025-10-15,2,1.0
2025-10-16,8,2.375
2025-10-17,5,2.6
2025-10-18,6,4.333333333333333
2025-10-19,3,4.666666666666667
2025-10-20,4,3.25
2025-10-21,2,3.5
2025-10-22,6,3.6666666666666665
2025-10-23,6,3.8333333333333335
2025-10-24,5,3.0
2025-10-25,4,3.25
2025-10-26,5,2.8
2025-10-27,5,3.4
2025-10-28,3,3.6666666666666665
2025-10-29,2,3.0
2025-10-30,15,3.2
2025-10-31,9,3.5555555555555554
2025-11-01,4,1.25
2025-11-02,9,4.111111111111111
2025-11-03,6,3.8333333333333335
2025-11-04,8,3.0
2025-11-05,16,4.125
2025-11-06,8,3.375
2025-11-07,10,3.3
2025-11-08,6,3.1666666666666665
2025-11-09,9,3.4444444444444446
2025-11-10,9,3.4444444444444446
2025-11-11,14,3.4285714285714284
2025-11-12,7,4.285714285714286
2025-11-13,11,4.363636363636363
2025-11-14,12,3.1666666666666665
2025-11-15,5,3.4
2025-11-16,6,3.6666666666666665
2025-11-17,14,3.0714285714285716
2025-11-18,13,4.384615384615385
2025-11-19,16,3.625
2025-11-20,11,3.909090909090909
2025-11-21,9,3.888888888888889
2025-11-22,12,3.9166666666666665
2025-11-23,13,3.769230769230769
2025-11-24,11,4.636363636363637
2025-11-25,16,4.25
2025-11-26,5,3.6
2025-11-27,7,4.0
2025-11-28,8,3.0
2025-11-29,9,4.555555555555555
2025-11-30,13,4.076923076923077
2025-12-01,16,2.625
2025-12-02,19,3.789473684210526
2025-12-03,11,3.909090909090909
2025-12-04,15,3.7333333333333334
2025-12-05,24,3.0
2025-12-06,13,2.6153846153846154
2025-12-07,24,3.7916666666666665
2025-12-08,17,3.5294117647058822
2025-12-09,15,2.8
2025-12-10,20,3.25
2025-12-11,21,3.5714285714285716
2025-12-12,21,3.9047619047619047
2025-12-13,19,3.6842105263157894
2025-12-14,16,3.0
2025-12-15,10,3.1
2025-12-16,13,3.923076923076923
2025-12-17,22,3.3636363636363638
2025-12-18,18,3.2777777777777777
2025-12-19,11,3.3636363636363638
2025-12-20,9,2.3333333333333335
2025-12-21,11,2.090909090909091
2025-12-22,7,2.857142857142857
2025-12-23,12,3.5833333333333335
2025-12-24,10,3.8
2025-12-25,16,3.625
2025-12-26,12,4.333333333333333
2025-12-27,16,2.8125
2025-12-28,16,2.625
2025-12-29,19,3.3684210526315788
2025-12-30,15,2.3333333333333335
2025-12-31,14,3.642857142857143
2026-01-01,7,3.2857142857142856
2026-01-02,10,4.1
2026-01-03,9,3.3333333333333335
2026-01-04,15,3.7333333333333334
2026-01-05,11,3.727272727272727
2026-01-06,20,3.65
2026-01-07,13,3.6923076923076925
2026-01-08,18,3.5555555555555554
2026-01-09,23,3.347826086956522
2026-01-10,18,3.5
2026-01-11,18,2.9444444444444446
2026-01-12,13,3.0
2026-01-13,15,4.333333333333333
2026-01-14,18,3.5
2026-01-15,25,3.84
2026-01-16,18,3.0
2026-01-17,11,3.4545454545454546
2026-01-18,16,2.9375
2026-01-19,11,3.6363636363636362
2026-01-20,21,3.0476190476190474
2026-01-21,29,3.3448275862068964
2026-01-22,20,3.45
2026-01-23,15,3.466666666666667
2026-01-24,14,3.642857142857143
2026-01-25,31,3.4193548387096775
2026-01-26,33,3.5454545454545454
2026-01-27,24,4.083333333333333
2026-01-28,38,3.3947368421052633
2026-01-29,49,3.6530612244897958
2026-01-30,60,4.016666666666667
2026-01-31,37,3.72972972972973
2026-02-01,50,3.76
2026-02-02,48,4.291666666666667
2026-02-03,74,3.9054054054054053
2026-02-04,51,4.313725490196078
2026-02-05,64,4.28125
2026-02-06,79,3.911392405063291
2026-02-07,78,4.064102564102564
2026-02-08,67,4.044776119402985
2026-02-09,69,4.0144927536231885
2026-02-10,73,4.013698630136986
2026-02-11,79,3.9367088607594938
2026-02-12,69,4.028985507246377
2026-02-13,100,4.12
2026-02-14,131,4.259541984732825
2026-02-15,207,4.202898550724638
2026-02-16,238,4.277310924369748
2026-02-17,248,4.217741935483871
2026-02-18,218,4.23394495412844
2026-02-19,248,4.19758064516129
2026-02-20,137,4.2700729927007295
